Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
glycolysis II (from fructose 6-phosphate)	"pykA // ""pykF"" // ""eno"" // ""gpmM"" // ""pgk"" // ""gapA"" // ""tpiA"" // ""fbaA"" // ""fbaB"" // ""pfkB"" // ""pfkA"" // ""ppsA"" // ""fbp"" // ""glpX"" // ""ybhA"" // ""yggF"" // ""phoA"" // ""gpmA"""	"pyruvate kinase II // ""pyruvate kinase I"" // ""Eno"" // ""2,3-bisphosphoglycerate-independent phosphoglycerate mutase"" // PGK // ""glyceraldehyde 3-phosphate dehydrogenase-A monomer"" // ""triosephosphate isomerase monomer"" // ""fructose bisphosphate aldolase class II"" // ""fructose bisphosphate aldolase class I"" // ""6-phosphofructokinase II"" // ""6-phosphofructokinase I"" // ""phosphoenolpyruvate synthetase"" // ""fructose-1,6-bisphosphatase I"" // ""fructose 1,6-bisphosphatase II"" // EG11239-MONOMER // ""fructose-1,6-bisphosphatase"" // ""alkaline phosphatase"" // ""2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"""	Glycolysis	"AMP // ""NADH"""
glyoxylate cycle	"mdh // ""aceB"" // ""aceA"" // ""gltA"" // ""acnA"" // ""acnB"""	"malate dehydrogenase // MALATE-SYNTHASE // ""isocitrate lyase monomer"" // ""citrate synthase monomer"" // ""aconitate hydratase 1"" // ""bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase"""	Generation of Precursor Metabolites and Energy	"H<SUP>+</SUP> // ""coenzyme A"" // ""succinate"" // ""NADH"""
guanine and guanosine salvage	"gpt // ""hpt"" // ""deoD"" // ""xapA"""	"xanthine-guanine phosphoribosyltransferase // ""hypoxanthine phosphoribosyltransferase"" // ""purine nucleoside phosphorylase"" // ""xanthosine phosphorylase"""	Guanine and Guanosine Salvage	"&alpha;-D-ribose-1-phosphate // ""GMP"" // ""diphosphate"""
guanine and guanosine salvage III	gsk	inosine-guanosine kinase	Guanine and Guanosine Salvage	"H<SUP>+</SUP> // ""GMP"" // ""ADP"""
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	"nrdA // ""nrdB"" // ""nrdD"" // ""nrdE"" // ""nrdF"" // ""ndk"" // ""nrdH"" // ""fldA"" // ""trxA"" // ""trxC"""	"ribonucleoside diphosphate reductase 1 // ""ribonucleoside-triphosphate reductase"" // ""ribonucleoside-diphosphate reductase 2"" // ""nucleoside diphosphate kinase"""	Guanosine Deoxyribonucleotides <i>De Novo</i> Biosynthesis	"dGTP // ""ADP"" // ""an oxidized NrdH glutaredoxin-like protein"" // ""H<sub>2</sub>O"" // ""an oxidized flavodoxin"" // ""an oxidized thioredoxin"""
guanosine nucleotides degradation III	"guaD // ""aphA"" // ""umpH"" // ""umpG"" // ""yrfG"" // ""xdhA"" // ""xdhB"" // ""xdhC"" // ""deoD"" // ""xapA"""	"G7502-MONOMER // ""acid phosphatase / phosphotransferase"" // ""UMP phosphatase"" // ""broad specificity 5'(3')-nucleotidase and polyphosphatase"" // ""purine nucleotidase"" // ""xanthine dehydrogenase"" // ""purine nucleoside phosphorylase"" // ""xanthosine phosphorylase"""	Guanosine Nucleotides Degradation	"&alpha;-D-ribose-1-phosphate // ""urate"" // ""NADH"" // ""ammonium"""
guanosine ribonucleotides <i>de novo</i> biosynthesis	"guaB // ""guaA"" // ""gmk"" // ""ndk"""	"GuaB // ""GMP synthetase"" // ""guanylate kinase"" // ""nucleoside diphosphate kinase"""	Purine Riboucleotides <i>De Novo</i> Biosynthesis	"GTP // ""ADP"" // ""H<SUP>+</SUP>"" // ""L-glutamate"" // ""diphosphate"" // ""AMP"" // ""NADH"""
guanylyl molybdenum cofactor biosynthesis	mobA	EG11829-MONOMER	"Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis"	"guanylyl molybdenum cofactor // ""diphosphate"""
heme biosynthesis I (aerobic)	"hemE // ""hemG"" // ""hemH"" // ""hemF"""	"uroporphyrinogen decarboxylase // ""protoporphyrinogen oxidase"" // PROTOHEME-FERROCHELAT-MONOMER // ""coproporphyrinogen III oxidase"""	Heme Biosynthesis	"CO<SUB>2</SUB> // ""H<sub>2</sub>O"" // ""ferroheme <i>b</i>"" // ""hydrogen peroxide"""
heme biosynthesis II (anaerobic)	"hemH // ""hemE"" // ""hemN"" // ""hemG"""	"PROTOHEME-FERROCHELAT-MONOMER // ""uroporphyrinogen decarboxylase"" // ""coproporphyrinogen III dehydrogenase"" // ""protoporphyrinogen oxidase"""	Heme Biosynthesis	"a menaquinol // ""CO<SUB>2</SUB>"" // ""L-methionine"" // ""5'-deoxyadenosine"" // ""ferroheme <i>b</i>"""
hydrogen sulfide biosynthesis I	"aspC // ""sseA"""	"aspartate aminotransferase, PLP-dependent // EG11600-MONOMER"	Hydrogen Sulfide Biosynthesis	"pyruvate // ""hydrogen sulfide"" // ""L-glutamate"""
hydrogen to dimethyl sulfoxide electron transfer	"dmsA // ""dmsB"" // ""dmsC"" // ""hybA"" // ""hybB"" // ""hybO"" // ""hybC"" // ""hyaC"" // ""hyaB"" // ""hyaA"""	"dimethyl sulfoxide reductase, chain A // ""dimethyl sulfoxide reductase, chain B"" // ""dimethyl sulfoxide reductase, chain C"" // ""hydrogenase 2"" // ""hydrogenase 1, oxygen tolerant hydrogenase"""	"Anaerobic Respiration // ""Electron Transfer"""	"dimethyl sulfide // ""H<sub>2</sub>O"""
hydrogen to fumarate electron transfer	"hybA // ""hybB"" // ""hybO"" // ""hybC"" // ""frdA"" // ""frdB"" // ""frdC"" // ""frdD"""	"hydrogenase 2 // ""fumarate reductase flavoprotein"" // ""fumarate reductase iron-sulfur protein"" // ""fumarate reductase membrane protein"" // ""fumarate reductase membrane protein"""	"Anaerobic Respiration // ""Electron Transfer"""	succinate
hydrogen to trimethylamine N-oxide electron transfer	"hybA // ""hybB"" // ""hybO"" // ""hybC"" // ""hyaC"" // ""hyaB"" // ""hyaA"" // ""torC"" // ""torA"""	"hydrogenase 2 // ""hydrogenase 1, oxygen tolerant hydrogenase"" // ""trimethylamine N-oxide reductase TorCA"""	"Anaerobic Respiration // ""Electron Transfer"""	"H<sub>2</sub>O // ""trimethylamine"""
hydroxymethylpyrimidine salvage	"pdxK // ""thiD"""	pyridoxal kinase I / hydroxymethylpyrimidine kinase // 	Thiamine Salvage	"4-amino-2-methyl-5-(diphosphomethyl)pyrimidine // ""ADP"" // ""H<SUP>+</SUP>"""
inosine-5'-phosphate biosynthesis I	"purC // ""purB"" // ""purH"" // ""purE"" // ""purK"""	"PurC // ""adenylosuccinate lyase"" // AICARTRANSIMPCYCLO-CPLX // ""<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase"" // ""<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase"""	Inosine-5'-phosphate Biosynthesis	"H<SUP>+</SUP> // ""ADP"" // ""phosphate"" // ""IMP"" // ""H<sub>2</sub>O"" // ""a tetrahydrofolate"" // ""fumarate"""
Kdo transfer to lipid IV<sub>A</sub> I	waaA	KDO transferase	"Kdo Transfer to Lipid IV<SUB>A</SUB> // ""Lipopolysaccharide Biosynthesis"""	"H<SUP>+</SUP> // ""&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>"" // ""CMP"""
"KdpDE Two-Component Signal Transduction System, potassium-dependent"	"kdpE // ""kdpD"""		Signal transduction pathways	"ADP // ""KdpE-Phosphorylated DNA-binding transcriptional activator"""
ketogluconate metabolism	"idnO // ""idnK"" // ""gntK"" // ""idnD"" // ""dkgB"" // ""dkgA"" // ""ghrB"""	"5-keto-D-gluconate 5-reductase // ""D-gluconate kinase, thermosensitive"" // ""D-gluconate kinase, thermostable"" // IDONDEHYD-MONOMER // MONOMER0-149 // MONOMER0-148 // ""GhrB"""	"Sugar Acids Degradation // ""Superpathways"""	"L-idonate // ""NADP<sup>+</sup>"" // ""D-gluconate"" // ""5-dehydro-D-gluconate"""
L-alanine biosynthesis I	"ilvE // ""alr"" // ""dadX"" // ""avtA"""	"branched-chain amino-acid aminotransferase // ""alanine racemase 1, PLP-binding, biosynthetic"" // ""alanine racemase 2, PLP-binding"" // ""valine-pyruvate aminotransferase"""	L-alanine Biosynthesis	"D-alanine // ""2-oxoglutarate"""
L-alanine biosynthesis II	"alaA // ""alaC"""	"glutamate-pyruvate aminotransferase // ""glutamate-pyruvate aminotransferase"""	L-alanine Biosynthesis	"2-oxoglutarate // ""L-alanine"""
L-alanine biosynthesis III	"iscS // ""sufS"""	"cysteine desulfurase // ""L-cysteine desulfurase"""	L-alanine Biosynthesis	"an [L-cysteine desulfurase] L-cysteine persulfide // ""L-alanine"""
L-alanine degradation I	"alr // ""dadX"" // ""dadA"""	"alanine racemase 1, PLP-binding, biosynthetic // ""alanine racemase 2, PLP-binding"" // ""D-amino acid dehydrogenase"""	L-alanine Degradation	"an electron-transfer quinol // ""ammonium"" // ""pyruvate"""
L-arabinose degradation I	"araA // ""araD"" // ""araB"""	"L-arabinose isomerase // ""L-ribulose 5-phosphate 4-epimerase"" // ""L-ribulokinase monomer"""	L-arabinose Degradation	"H<SUP>+</SUP> // ""ADP"" // ""D-xylulose 5-phosphate"""
L-arginine biosynthesis I (via L-ornithine)	"argG // ""argH"" // ""argI"" // ""argF"" // ""carB"" // ""carA"" // ""argA"" // ""argB"" // ""argC"" // ""argD"" // ""gabT"" // ""argE"""	"ArgG // ARGSUCCINLYA-MONOMER // ""ornithine carbamoyltransferase chain I"" // ""ornithine carbamoyltransferase chain F"" // ""carbamoyl phosphate synthetase, &beta; chain"" // ""carbamoyl phosphate synthetase, &alpha; chain"" // ""N-acetylglutamate synthase"" // ""acetylglutamate kinase"" // N-ACETYLGLUTPREDUCT-MONOMER // ""<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"" // ""4-aminobutyrate aminotransferase"" // ""ArgE"""	"L-arginine Biosynthesis // ""Superpathways"""	"H<SUP>+</SUP> // ""L-glutamate"" // ""phosphate"" // ""ADP"" // ""L-arginine"" // ""fumarate"" // ""diphosphate"" // ""AMP"""
L-arginine degradation II (AST pathway)	"astA // ""astB"" // ""astC"" // ""astD"" // ""astE"""	"ARGSUCCTRAN-MONOMER // ""succinylarginine dihydrolase"" // ""succinylornithine transaminase"" // ""aldehyde dehydrogenase"" // SUCCGLUDESUCC-MONOMER"	L-arginine Degradation	"succinate // ""L-glutamate"" // ""NADH"" // ""ammonium"" // ""CO<SUB>2</SUB>"" // ""coenzyme A"""
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	"speA // ""adiA"" // ""speB"""	"SpeA // ""Adi"" // ""SpeB"""	"L-arginine Degradation // ""Amines and Polyamines Biosynthesis"""	"urea // ""putrescine"" // ""CO<SUB>2</SUB>"""
"L-ascorbate degradation I (bacterial, anaerobic)"	"ulaE // ""ulaD"" // ""ulaF"" // ""ulaG"""	"L-xylulose 5-phosphate 3-epimerase // ""3-keto-L-gulonate 6-phosphate decarboxylase"" // ""L-ribulose 5-phosphate 4-epimerase"" // ""L-ascorbate 6-phosphate lactonase"""	L-Ascorbate Degradation	"D-xylulose 5-phosphate // ""CO<SUB>2</SUB>"""
"L-ascorbate degradation II (bacterial, aerobic)"	"lyxK // ""yiaK"" // ""sgbH"" // ""sgbU"" // ""sgbE"""	"L-xylulose kinase // ""2,3-diketo-L-gulonate reductase"" // ""3-keto-L-gulonate 6-phosphate decarboxylase"" // ""predicted L-xylulose 5-phosphate 3-epimerase"" // EG12287-MONOMER"	L-Ascorbate Degradation	"D-xylulose 5-phosphate // ""CO<SUB>2</SUB>"" // ""NAD<sup>+</sup>"" // ""ADP"""
L-asparagine biosynthesis I	asnB	asparagine synthetase B	L-asparagine Biosynthesis	"H<SUP>+</SUP> // ""L-glutamate"" // ""L-asparagine"" // ""diphosphate"" // ""AMP"""
L-asparagine biosynthesis II	"asnB // ""asnA"""	"asparagine synthetase B // ""asparagine synthetase A"""	L-asparagine Biosynthesis	"H<SUP>+</SUP> // ""L-asparagine"" // ""diphosphate"" // ""AMP"""
L-asparagine degradation I	"ansB // ""ansA"" // ""iaaA"""	"asparaginase II // ""asparaginase I"" // ""isoaspartyl dipeptidase / asparaginase III"""	L-asparagine Degradation	"L-aspartate // ""ammonium"""
L-aspartate biosynthesis	aspC	"aspartate aminotransferase, PLP-dependent"	L-aspartate Biosynthesis	"L-aspartate // ""2-oxoglutarate"""
L-carnitine degradation I	"caiA // ""caiB"" // ""caiD"" // ""caiC"""	"CROBETREDUCT-MONOMER // ""CaiB monomer"" // CARNRACE-MONOMER // CAIC-MONOMER"	Carnitine Degradation	"AMP // ""diphosphate"" // ""H<sub>2</sub>O"" // ""&gamma;-butyrobetaine"" // ""an oxidized unknown electron acceptor"""
L-cysteine biosynthesis I	"cysE // ""cysK"" // ""cysM"""	"serine acetyltransferase // ""<i>O</i>-acetylserine sulfhydrylase A"" // ""cysteine synthase B"""	L-cysteine Biosynthesis	"H<SUP>+</SUP> // ""L-cysteine"" // ""acetate"" // ""coenzyme A"""
L-cysteine degradation II	"tnaA // ""malY"" // ""cysM"" // ""cysK"" // ""metC"""	"tryptophanase // ""bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"" // ""cysteine synthase B"" // ""<i>O</i>-acetylserine sulfhydrylase A"" // ""MetC"""	L-cysteine Degradation	"pyruvate // ""ammonium"" // ""hydrogen sulfide"""
L-galactonate degradation	lgoD	L-galactonate oxidoreductase	Sugar Acids Degradation	"H<SUP>+</SUP> // ""D-tagaturonate"" // ""NADH"""
L-glutamate biosynthesis I	"gltB // ""gltD"""	glutamate synthase	L-glutamate Biosynthesis	"L-glutamate // ""NADP<sup>+</sup>"""
L-glutamate biosynthesis III	gdhA	glutamate dehydrogenase	L-glutamate Biosynthesis	"L-glutamate // ""H<sub>2</sub>O"" // ""NADP<sup>+</sup>"""
L-glutamate degradation II	"aspC // ""aspA"""	"aspartate aminotransferase, PLP-dependent // ""AspA"""	"L-aspartate Biosynthesis // ""L-glutamate Degradation"""	"ammonium // ""fumarate"" // ""2-oxoglutarate"""
L-glutamate degradation IX (via 4-aminobutanoate)	"gadA // ""gadB"""	"glutamate decarboxylase A subunit // ""glutamate decarboxylase B subunit"""	"L-glutamate Degradation // ""Acid Resistance"" // ""Superpathways"""	"CO<SUB>2</SUB> // ""4-aminobutanoate"""
L-glutamine biosynthesis I	glnA	glutamine synthetase	"Ammonia Assimilation // ""L-glutamine Biosynthesis"""	"H<SUP>+</SUP> // ""L-glutamine"" // ""ADP"" // ""phosphate"""
L-glutamine degradation I	"gltB // ""gltD"" // ""asnB"" // ""carB"" // ""carA"" // ""pyrG"" // ""guaA"" // ""yneH"" // ""ybaS"""	"glutamate synthase // ""asparagine synthetase B"" // ""carbamoyl phosphate synthetase, &beta; chain"" // ""carbamoyl phosphate synthetase, &alpha; chain"" // ""CTP synthase"" // ""GMP synthetase"" // ""glutaminase A monomer"" // ""glutaminase B monomer"" // ""glutaminase"" // ""glutaminase"""	L-glutamine Degradation	"L-glutamate // ""ammonium"""
L-histidine biosynthesis	"hisD // ""hisC"" // ""hisB"" // ""hisH"" // ""hisF"" // ""hisA"" // ""hisI"" // ""hisG"""	"HisD // ""histidinol-phosphate aminotransferase"" //  // ""imidazole glycerol phosphate synthase, HisH subunit"" // ""imidazole glycerol phosphate synthase, HisF subunit"" // PRIBFAICARPISOM-MONOMER // HISTCYCLOPRATPPHOS // ""ATP phosphoribosyltransferase"""	L-histidine Biosynthesis	"diphosphate // ""5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide"" // ""2-oxoglutarate"" // ""phosphate"" // ""NADH"" // ""L-histidine"""
L-homoserine and L-methionine biosynthesis	"metA // ""metE"" // ""metH"" // ""metB"" // ""malY"" // ""metC"" // ""asd"" // ""metL"""	"homoserine <i>O</i>-succinyltransferase // HOMOCYSMET-MONOMER // ""cobalamin-dependent methionine synthase"" // ""MetB"" // ""bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"" // ""MetC"" // ""Asd"" // ""MetL"""	"L-methionine <i>De Novo</i> Biosynthesis // ""Superpathways"""	
L-homoserine biosynthesis	"lysC // ""asd"" // ""thrA"" // ""metL"""	"aspartate kinase III // ""Asd"" // ""ThrA"" // ""MetL"""	Other Amino Acid Biosynthesis	"NAD(P)<sup>+</sup> // ""L-homoserine"" // ""NADP<sup>+</sup>"" // ""phosphate"" // ""ADP"""
L-idonate degradation	"idnO // ""idnK"" // ""idnD"""	"5-keto-D-gluconate 5-reductase // ""D-gluconate kinase, thermosensitive"" // IDONDEHYD-MONOMER"	Sugar Acids Degradation	"ADP // ""D-gluconate 6-phosphate"""
L-isoleucine biosynthesis I (from threonine)	"ilvD // ""ilvE"" // ""ilvC"" // ""ilvI"" // ""ilvH"" // ""ilvG_1"" // ""ilvG_2"" // ""ilvM"" // ""ilvA"""	"dihydroxy acid dehydratase // ""branched-chain amino-acid aminotransferase"" // ""acetohydroxy acid isomeroreductase"" // ""IlvI"" // ""IlvH"" // ""acetolactate synthase II, large subunit, N-ter fragment (pseudogene)"" // ""acetolactate synthase II, large subunit, C-ter fragment (pseudogene)"" // ""IlvM"" // ""threonine deaminase"""	L-isoleucine Biosynthesis	"ammonium // ""CO<SUB>2</SUB>"" // ""NADP<sup>+</sup>"" // ""L-isoleucine"" // ""2-oxoglutarate"""
L-lactaldehyde degradation (aerobic)	"aldA // ""lldD"""	"aldehyde dehydrogenase A, NAD-linked // ""L-lactate dehydrogenase"""	Lactaldehyde Degradation	"an electron-transfer quinol // ""pyruvate"" // ""H<SUP>+</SUP>"" // ""NADH"""
L-lactaldehyde degradation (anaerobic)	fucO	"L-1,2-propanediol oxidoreductase"	Lactaldehyde Degradation	"(<i>S</i>)-propane-1,2-diol // ""NAD<sup>+</sup>"""
L-leucine biosynthesis	"leuB // ""dmlA"" // ""ilvE"" // ""tyrB"" // ""leuA"" // ""leuC"" // ""leuD"""	"LeuB // ""D-malate / 3-isopropylmalate dehydrogenase (decarboxylating)"" // ""branched-chain amino-acid aminotransferase"" // ""tyrosine aminotransferase"" // ""2-isopropylmalate synthase"" // ""isopropylmalate isomerase"""	L-leucine Biosynthesis	"CO<SUB>2</SUB> // ""coenzyme A"" // ""L-leucine"" // ""2-oxoglutarate"" // ""NADH"""
L-lysine biosynthesis I	"dapF // ""lysA"" // ""dapE"" // ""argD"" // ""serC"" // ""dapD"" // ""dapA"" // ""asd"" // ""lysC"" // ""dapB"""	"diaminopimelate epimerase // ""diaminopimelate decarboxylase"" // ""<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit"" // ""<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"" //  // ""tetrahydrodipicolinate succinylase"" // ""4-hydroxy-tetrahydrodipicolinate synthase"" // ""Asd"" // ""aspartate kinase III"" // ""4-hydroxy-tetrahydrodipicolinate reductase"""	L-lysine Biosynthesis	"NADP<sup>+</sup> // ""ADP"" // ""phosphate"" // ""coenzyme A"" // ""2-oxoglutarate"" // ""succinate"" // ""L-lysine"" // ""CO<SUB>2</SUB>"""
L-lysine degradation I	"cadA // ""ldcC"""	"lysine decarboxylase 1 // ""lysine decarboxylase 2"""	L-lysine Degradation	"CO<SUB>2</SUB> // ""cadaverine"""
L-lyxose degradation	"rhaA // ""lyxK"" // ""sgbU"" // ""araD"" // ""sgbE"""	"L-rhamnose isomerase // ""L-xylulose kinase"" // ""predicted L-xylulose 5-phosphate 3-epimerase"" // ""L-ribulose 5-phosphate 4-epimerase"" // EG12287-MONOMER"	Sugars Degradation	"D-xylulose 5-phosphate // ""H<SUP>+</SUP>"" // ""ADP"""
L-methionine biosynthesis I	"metA // ""metE"" // ""metH"" // ""metB"" // ""malY"" // ""metC"""	"homoserine <i>O</i>-succinyltransferase // HOMOCYSMET-MONOMER // ""cobalamin-dependent methionine synthase"" // ""MetB"" // ""bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"" // ""MetC"""	L-methionine <i>De Novo</i> Biosynthesis	"H<SUP>+</SUP> // ""2-aminoprop-2-enoate"" // ""succinate"" // ""L-methionine"" // ""a tetrahydrofolate"" // ""tetrahydropteroyl tri-L-glutamate"" // ""coenzyme A"""
L-ornithine biosynthesis I	"argA // ""argB"" // ""argC"" // ""argD"" // ""gabT"" // ""argE"""	"N-acetylglutamate synthase // ""acetylglutamate kinase"" // N-ACETYLGLUTPREDUCT-MONOMER // ""<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"" // ""4-aminobutyrate aminotransferase"" // ""ArgE"""	L-Ornithine Biosynthesis	"L-ornithine // ""acetate"" // ""2-oxoglutarate"" // ""NADP<sup>+</sup>"" // ""phosphate"" // ""ADP"" // ""coenzyme A"""
L-phenylalanine biosynthesis I	"tyrB // ""aspC"" // ""ilvE"" // ""pheA"" // ""tyrA"""	"tyrosine aminotransferase // ""aspartate aminotransferase, PLP-dependent"" // ""branched-chain amino-acid aminotransferase"" // ""chorismate mutase / prephenate dehydratase"" // ""chorismate mutase / prephenate dehydrogenase"""	L-phenylalanine Biosynthesis	"H<sub>2</sub>O // ""CO<SUB>2</SUB>"" // ""L-phenylalanine"" // ""2-oxoglutarate"""
L-proline biosynthesis I	"proC // ""proA"" // ""proB"""	"pyrroline-5-carboxylate reductase monomer // ""glutamate-5-semialdehyde dehydrogenase"" // ""glutamate 5-kinase"""	L-proline Biosynthesis	"ADP // ""phosphate"" // ""NADP<sup>+</sup>"" // ""NAD(P)<sup>+</sup>"" // ""L-proline"" // ""H<sub>2</sub>O"""
L-rhamnose degradation I	"rhaD // ""rhaB"" // ""rhaA"" // ""rhaM"""	"rhamnulose-1-phosphate aldolase monomer // RHAMNULOKIN-MONOMER // ""L-rhamnose isomerase"" // ""L-rhamnose mutarotase"""	L-rhamnose Degradation	"H<SUP>+</SUP> // ""ADP"" // ""(<i>S</i>)-lactaldehyde"" // ""glycerone phosphate"""
L-selenocysteine biosynthesis I (bacteria)	"selD // ""selA"" // ""serS"" // ""selC"""	"selenide, water dikinase // ""selenocysteine synthase"" // ""seryl-tRNA synthetase"""	L-selenocysteine Biosynthesis	"diphosphate // ""AMP"" // ""phosphate"" // ""an L-selenocysteinyl-[tRNA<SUP>sec</SUP>]"""
L-serine biosynthesis	"serC // ""serA"" // ""serB"""	 //  // PSERPHOSPHA-MONOMER	L-serine Biosynthesis	"L-serine // ""phosphate"" // ""H<SUP>+</SUP>"" // ""NADH"" // ""2-oxoglutarate"""
L-serine degradation	"tdcG // ""sdaA"" // ""tdcB"" // ""sdaB"""	"L-serine deaminase III // ""L-serine deaminase I"" // ""catabolic threonine dehydratase"" // ""L-serine deaminase II"""	L-serine Degradation	"pyruvate // ""ammonium"""
L-threonine biosynthesis	"thrB // ""thrC"""	homoserine kinase // THRESYN-MONOMER	L-threonine Biosynthesis	"phosphate // ""L-threonine"" // ""H<SUP>+</SUP>"" // ""ADP"""
L-threonine degradation I	"tdcE // ""pflB"" // ""pta"" // ""tdcD"" // ""ackA"" // ""tdcB"""	"2-ketobutyrate formate-lyase / pyruvate formate-lyase 4 // PYRUVFORMLY-CPLX // ""Pta"" // ""propionate kinase"" // ""acetate kinase"" // ""catabolic threonine dehydratase"""	L-threonine Degradation	"ammonium // ""ATP"" // ""propanoate"" // ""formate"""
L-threonine degradation II	"tdh // ""yiaY"" // ""kbl"""	"Tdh // ""L-threonine dehydrogenase"" // ""Kbl"""	L-threonine Degradation	"glycine // ""acetyl-CoA"" // ""NADH"" // ""H<SUP>+</SUP>"""
L-threonine degradation III (to methylglyoxal)	"tdh // ""yiaY"" // ""tynA"""	"Tdh // ""L-threonine dehydrogenase"" // ""copper-containing amine oxidase"""	L-threonine Degradation	"methylglyoxal // ""ammonium"" // ""hydrogen peroxide"" // ""CO<SUB>2</SUB>"" // ""NADH"""
L-threonine degradation IV	"ltaE // ""adhE"" // ""mhpF"""	"low-specificity L-threonine aldolase // ""aldehyde-alcohol dehydrogenase"" // ""acetaldehyde dehydrogenase 2"""	L-threonine Degradation	"H<SUP>+</SUP> // ""NADH"" // ""acetyl-CoA"" // ""glycine"""
L-tryptophan biosynthesis	"trpC // ""trpE"" // ""trpD"" // ""trpA"" // ""trpB"""	"PRAI-IGPS // ""anthranilate synthase component II"" // ""anthranilate synthase component I"" // ""anthranilate synthase component II"" // ""tryptophan synthase, &alpha; subunit"" // ""tryptophan synthase, &alpha; subunit"" // ""tryptophan synthase, &beta; subunit dimer"" // ""tryptophan synthase, &beta; subunit dimer"""	L-typtophan Biosynthesis	"L-tryptophan // ""H<sub>2</sub>O"" // ""D-glyceraldehyde 3-phosphate"" // ""pyruvate"" // ""L-glutamate"" // ""diphosphate"" // ""CO<SUB>2</SUB>"""
L-tryptophan degradation II (via pyruvate)	tnaA	tryptophanase	L-tryptophan Degradation	"indole // ""pyruvate"" // ""ammonium"""
L-tyrosine biosynthesis I	"tyrB // ""aspC"" // ""pheA"" // ""tyrA"""	"tyrosine aminotransferase // ""aspartate aminotransferase, PLP-dependent"" // ""chorismate mutase / prephenate dehydratase"" // ""chorismate mutase / prephenate dehydrogenase"""	L-tyrosine Biosynthesis	"CO<SUB>2</SUB> // ""NADH"" // ""L-tyrosine"" // ""2-oxoglutarate"""
L-valine biosynthesis	"ilvD // ""ilvE"" // ""ilvC"" // ""ilvB"" // ""ilvN"" // ""ilvG_1"" // ""ilvG_2"" // ""ilvM"" // ""ilvI"" // ""ilvH"""	"dihydroxy acid dehydratase // ""branched-chain amino-acid aminotransferase"" // ""acetohydroxy acid isomeroreductase"" // ""acetohydroxy acid synthase I, large subunit"" // ""acetohydroxy acid synthase I, small subunit"" // ""acetolactate synthase II, large subunit, N-ter fragment (pseudogene)"" // ""acetolactate synthase II, large subunit, C-ter fragment (pseudogene)"" // ""IlvM"" // ""IlvI"" // ""IlvH"""	L-valine Biosynthesis	"CO<SUB>2</SUB> // ""NADP<sup>+</sup>"" // ""L-valine"" // ""2-oxoglutarate"" // ""H<sub>2</sub>O"""
lactose degradation III	lacZ	&beta;-galactosidase	Lactose Degradation	"&beta;-D-galactose // ""D-glucopyranose"""
Lipid A-core biosynthesis	"waaC // ""waaF"" // ""waaG"" // ""waaP"" // ""waaQ"" // ""waaY"" // ""waaB"" // ""waaO"" // ""waaJ"" // ""waaU"""	"ADP-heptose:LPS heptosyltransferase I // ""ADP-heptose:LPS heptosyltransferase II"" // ""lipopolysaccharide glucosyltransferase I"" // ""lipopolysaccharide core heptose (I) kinase"" // ""lipopolysaccharide core heptosyltransferase III"" // ""lipopolysaccharide core heptose (II) kinase"" // ""UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"" // ""UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase"" // ""UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase"" // ""lipopolysaccharide core biosynthesis; heptosyl transferase IV; probably hexose transferase"""	Fatty Acid and Lipid Biosynthesis	"H<SUP>+</SUP> // ""lipid A-core"" // ""ADP"" // ""UDP"""
lipid IV<sub>A</sub> biosynthesis	"lpxB // ""lpxK"" // ""lpxH"" // ""lpxD"" // ""lpxC"" // ""lpxA"" // ""acpP"" // ""entB"""	"lipid A disaccharide synthase // TETRAACYLDISACC4KIN-MONOMER // EG12666-MONOMER //  // UDPACYLGLCNACDEACETYL-MONOMER // ""LpxA"""	"Fatty Acid and Lipid Biosynthesis // ""Lipopolysaccharide Biosynthesis"""	"a <i>holo</i>-[acyl-carrier protein] // ""acetate"" // ""H<SUP>+</SUP>"" // ""UMP"" // ""lipid IV<sub>A</sub>"" // ""ADP"" // ""UDP"""
